Date,Price,Volume,Change,
2019-06-06,8003,407241297,2.44%,0.926908629
2019-06-12,8236,315594037,0.75%,0.105747235
2019-06-16,9336,606269266,3.82%,0.96275272
2019-06-19,9537,424436855,2.69%,0.867991941
2019-06-22,10856,619160986,1.53%,0.936101417
2019-06-24,11740,953962631,6.00%,0.80757856
2019-06-27,12355,1408438810,9.72%,0.772364561
2019-07-01,10844,1239524970,2.33%,0.838767004
2019-07-02,11982,1313585830,9.49%,0.85724144
2019-07-03,11157,831236842,-7.40%,0.245933194
2019-07-06,11474,418161890,1.96%,0.289058429
2019-07-08,12567,993891866,2.16%,0.641325734
2019-07-13,10204,814667763,-11.36%,0.611559536
2019-07-16,9696,965256824,2.81%,0.014962476
2019-07-18,10533,658190963,-1.00%,0.712225006
2019-07-20,10587,405339891,-1.63%,0.700705738
2019-07-24,9882,403576364,1.12%,0.694575754
2019-07-25,9847,312717110,-0.36%,0.112649665
2019-07-28,9507,299936368,-0.26%,0.087828871
2019-08-05,11467,949534020,-2.97%,0.021549155
2019-08-10,11549,292814721,2.21%,0.796144031
2019-08-11,11387,229908139,-1.42%,0.546223997
2019-08-18,10922,426168060,5.46%,0.085452481
2019-08-19,10771,332208752,-1.41%,0.407762503
2019-08-24,10142,259448931,-0.08%,0.537045483
2019-08-31,9768,149995550,1.47%,0.972590358
2019-09-02,10625,550564713,2.24%,0.130592126
2019-09-03,10585,436210232,-0.38%,0.550155364
2019-09-08,10315,340516852,-1.03%,0.528604226
2019-09-10,10165,283998084,0.55%,0.764474897
2019-09-20,9988,179453539,-1.88%,0.837467915
2019-10-02,8246,250685864,-1.76%,0.573037393
2019-10-07,8192,173334218,-0.28%,0.889698694
2019-10-08,8593,398201725,4.67%,0.871414593
2019-10-14,8173,205674618,-2.33%,0.395860518
2019-10-15,8014,274670310,-1.99%,0.465570001
2019-10-24,8671,656574822,14.15%,0.734172463
2019-10-29,9170,315824657,-2.87%,0.042806904
2019-10-31,9261,251360755,1.11%,0.82191659
2019-11-03,9422,275923702,2.12%,0.910893992
2019-11-05,9347,208985450,0.25%,0.50468613
2019-11-11,8815,194901130,1.01%,0.171944764
2019-11-12,8774,138900524,-0.47%,0.403230775
2019-11-14,8469,267441968,-2.03%,0.794772031
2019-11-15,8499,79597461,0.36%,0.493215138
2019-11-17,8190,250358969,-3.97%,0.104853097
2019-11-23,6930,249710266,-5.90%,0.868687486
2019-12-05,7559,209851297,2.01%,0.011870909
2019-12-06,7515,106572220,-0.58%,0.285296065
2019-12-07,7540,120000309,0.33%,0.977531408
2019-12-09,7234,170419386,-1.61%,0.127102809
2019-12-11,7199,201666958,-0.18%,0.432054596
2019-12-12,7262,135777985,0.86%,0.496307971
2019-12-16,6636,310739632,-3.94%,0.630615563
2019-12-18,7159,249541907,-1.89%,0.599864023
2019-12-21,7518,200586647,4.76%,0.360397356
2019-12-23,7261,203013414,-0.90%,0.143955741
2019-12-24,7203,108513256,-0.81%,0.823562215
2019-12-25,7207,169067214,0.06%,0.194011546
2019-12-26,7254,183588691,0.64%,0.730058655
2019-12-29,7234,168180499,-2.28%,0.693191121
2020-01-12,8107,184437466,-0.92%,0.302194823
2020-01-14,8813,441186934,-0.09%,0.413830414
2020-01-25,8602,189985702,2.98%,0.945783184
2020-01-30,9342,292627758,-1.70%,0.204001735
2020-01-31,9384,138614092,0.45%,0.822057952
2020-02-02,9289,312315107,-0.49%,0.249391667
2020-02-03,9172,244997962,-1.28%,0.027584914
2020-02-04,9611,448381300,4.57%,0.694487768
2020-02-09,9858,406256358,-3.04%,0.813717669
2020-02-12,10233,507955952,-1.12%,0.713324169
2020-02-19,9609,352949374,0.07%,0.571633684
2020-02-22,9977,228093372,3.07%,0.171181844
2020-02-25,8794,588359496,-5.94%,0.851645162
2020-03-01,8920,290280969,4.15%,0.1910849
2020-03-06,8904,187063952,-2.88%,0.486841105
2020-03-07,8058,533371350,-10.50%,0.85370058
2020-03-09,7895,427332546,-0.63%,0.696574017
2020-03-11,4917,1769476929,-61.60%,0.053565704
2020-03-12,5633,1663092006,12.71%,0.393955545
2020-03-13,5182,474539626,-8.70%,0.995291609
2020-03-14,5357,568696763,3.27%,0.797582805
2020-03-18,6185,868668217,12.48%,0.184221772
2020-03-20,6195,415771089,-0.18%,0.211989528
2020-03-23,6767,700444488,3.90%,0.674021357
2020-03-24,6694,566264216,-1.09%,0.981649747
2020-03-26,6383,381303012,-5.88%,0.558404643
2020-03-30,6424,233613490,0.32%,0.052398335
2020-03-31,6664,377164251,3.60%,0.86530754
2020-04-01,6804,635319848,2.07%,0.308686776
2020-04-02,6744,379639120,-0.90%,0.113561453
2020-04-10,6888,171352840,0.16%,0.091838389
2020-04-13,6879,307409557,0.29%,0.099572383
2020-04-15,7115,685621725,6.82%,0.912212128
2020-04-17,7264,258251103,3.13%,0.391535267
2020-04-19,6842,452319849,-4.24%,0.91675123
2020-04-24,7547,227962632,0.50%,0.392870801
2020-05-06,10000,1213223440,8.47%,0.905778755
2020-05-17,9723,606235218,0.54%,0.038849046
2020-05-18,9780,587660020,0.59%,0.677339776
2020-05-19,9509,593918718,-2.85%,0.529819999
2020-05-20,9059,798218782,-4.97%,0.746735476
2020-05-28,9425,379875666,-1.65%,0.854946014
2020-05-30,9450,212143032,-2.64%,0.292373183
2020-06-09,9892,395005943,1.13%,0.286212289
2020-06-10,9268,827582594,-6.73%,0.871782872
2020-06-13,9334,181308843,-1.51%,0.019078756
2020-06-14,9430,616170633,1.02%,0.991517985
2020-06-18,9302,295439172,-0.85%,0.514517503
2020-06-21,9692,393567344,4.11%,0.92663022
2020-06-22,9624,296221140,-0.70%,0.140961921
2020-06-23,9293,461570782,-3.57%,0.849519453
2020-06-24,9241,435446758,-0.56%,0.448184991
2020-06-27,9120,179558603,1.24%,0.892328021
2020-06-30,9239,274835041,1.11%,0.328031324
2020-07-02,9066,198428092,-0.29%,0.922765267
2020-07-05,9347,340664721,2.84%,0.858070981
2020-07-06,9257,239497399,-0.97%,0.636545295
2020-07-08,9239,280648694,-2.17%,0.174217849
2020-07-22,9615,415079930,0.81%,0.912120182
2020-07-29,11114,503563544,0.01%,0.457942764
2020-08-04,11752,555395574,4.75%,0.276091313
2020-08-11,11570,430758055,1.57%,0.863174584
2020-08-14,11861,369258185,0.73%,0.651834398
2020-08-18,11760,590122895,-1.67%,0.649847392
